n_blocks,combo,model,k,C,n_train_windows,auc,acc,p_high_low,p_high_moderate,p_high_high
3,1_3_5,svm_lin,10,1.0,927,0.49403218965029694,0.5,0.027079176866416695,0.031317427000117665,0.030667626385835967
3,1_3_5,logreg,20,0.003,927,0.6033733151098124,0.4987864077669903,0.10451351851224899,0.1324208825826645,0.13890595734119415
3,1_3_5,svm_lin,20,0.01,927,0.5883212366858328,0.5,0.018961634155778923,0.030332378241887243,0.026881774382422383
3,1_3_5,svm_lin,20,0.1,927,0.5939827033650674,0.5048543689320388,0.10052876201954575,0.1480475567487532,0.15919548687865204
3,1_3_5,svm_lin,20,1.0,927,0.5986367706664153,0.5230582524271845,0.15381173482963997,0.22552978453004272,0.2445161077937745
3,1_3_5,logreg,30,0.003,927,0.6137948911301725,0.49393203883495146,0.14311620593070984,0.18095475435256958,0.19562928378582
3,1_3_5,svm_lin,30,0.01,927,0.5944540013196342,0.49514563106796117,0.05784733895287335,0.08284121901557426,0.07770922062936214
3,1_3_5,svm_lin,30,0.1,927,0.586424262418701,0.5533980582524272,0.4133398451022686,0.5167193282051642,0.5562957048139314
3,1_3_5,svm_lin,30,1.0,927,0.6261723536619852,0.5825242718446602,0.49455904393379485,0.6809750888810601,0.7290521442690162
3,1_3_5,logreg,40,0.003,927,0.6151145254029597,0.49393203883495146,0.1451108306646347,0.1831943243741989,0.19732508063316345
3,1_3_5,svm_lin,40,0.01,927,0.5942949382599679,0.49271844660194175,0.08241189960472994,0.11419146241605527,0.11060367730808822
3,1_3_5,svm_lin,40,0.1,927,0.589081204637572,0.5594660194174758,0.4987135170017678,0.626998060323914,0.6664699719376856
3,1_3_5,svm_lin,40,1.0,927,0.629394853426336,0.5922330097087378,0.4091074533912201,0.5754085273301591,0.635214313134082
3,1_3_5,logreg,54,0.003,927,0.6177243378263739,0.4987864077669903,0.15078367292881012,0.18932412564754486,0.2063375860452652
3,1_3_5,svm_lin,54,0.01,927,0.5899354321802244,0.49150485436893204,0.07062793833003116,0.10158514822727698,0.09576325044556631
3,1_3_5,svm_lin,54,0.1,927,0.5936056650014139,0.5643203883495146,0.4556904188194658,0.5769101547691198,0.6263776815779017
3,1_3_5,svm_lin,54,1.0,927,0.67572344236026,0.6407766990291263,0.5560107882831015,0.7738428031494616,0.8901779076033249
3,1_3_6,logreg,10,0.003,902,0.576273682722217,0.5,0.10595005005598068,0.10524723678827286,0.11352963000535965
3,1_3_6,svm_lin,10,0.01,902,0.5625648034687529,0.5,0.009365335143945218,0.008881662353871935,0.01034083828136141
3,1_3_6,svm_lin,10,0.1,902,0.5543170892638326,0.5,0.009411866172021341,0.010094060061202963,0.009704393033847038
3,1_3_6,svm_lin,10,1.0,902,0.550911961542087,0.5,0.011365367974727293,0.013434702834470036,0.01075513323670178
3,1_3_6,logreg,20,0.003,902,0.67188236403054,0.5,0.08494126796722412,0.09992282837629318,0.12018688768148422
3,1_3_6,svm_lin,20,0.01,902,0.6562411631633519,0.5,0.010934727734253474,0.012212358048756117,0.016074923881495732
3,1_3_6,svm_lin,20,0.1,902,0.6256657083608257,0.5,0.010723145086683894,0.015529943233288398,0.01591497777192926
3,1_3_6,svm_lin,20,1.0,902,0.5847923932510133,0.5,0.018806753588187595,0.029504026785859463,0.021816603134215688
3,1_3_6,logreg,30,0.003,902,0.6978155339805826,0.5,0.1272287517786026,0.16148360073566437,0.1978769749403
3,1_3_6,svm_lin,30,0.01,902,0.6712814591384673,0.4963592233009709,0.08618020264257477,0.12374847113296293,0.14916315014916492
3,1_3_6,svm_lin,30,0.1,902,0.6602413045527382,0.4975728155339806,0.09612196434501746,0.18762746065562683,0.20771301900596478
3,1_3_6,svm_lin,30,1.0,902,0.6477342350834197,0.5691747572815534,0.17242773415101573,0.36251841797431356,0.38638342905547685
3,1_3_6,logreg,40,0.003,902,0.6916061834291639,0.5,0.1399795264005661,0.17650991678237915,0.21906247735023499
3,1_3_6,svm_lin,40,0.01,902,0.673590819115845,0.5,0.04642069258907861,0.06577971278462802,0.08662167531352397
3,1_3_6,svm_lin,40,0.1,902,0.6856560467527572,0.5315533980582524,0.08199051356309744,0.1619070321031306,0.21190849879234216
3,1_3_6,svm_lin,40,1.0,902,0.6814202563860873,0.5934466019417476,0.15237261560667076,0.2851569276754534,0.3783961151191755
3,1_3_6,logreg,54,0.003,902,0.6817619474031482,0.5,0.13342924416065216,0.17132613062858582,0.20864135026931763
3,1_3_6,svm_lin,54,0.01,902,0.6572898011122632,0.5012135922330098,0.04156447622954935,0.0652424571459808,0.07463298794683383
3,1_3_6,svm_lin,54,0.1,902,0.6625801206522763,0.5169902912621359,0.08882519024462847,0.19565275029704224,0.21662544988490384
3,1_3_6,svm_lin,54,1.0,902,0.6773435290790838,0.6007281553398058,0.17135676967276964,0.3543282552595002,0.4364754355733413
3,1_4_5,logreg,10,0.003,927,0.4481336600999152,0.5,0.7187291979789734,0.7279427647590637,0.7198811769485474
3,1_4_5,svm_lin,10,0.01,927,0.43525544349137524,0.5,0.8690646620304348,0.8834764158170166,0.8691179065014074
3,1_4_5,svm_lin,10,0.1,927,0.45229875577339995,0.5024271844660194,0.8037758320437279,0.8262907551574086,0.8049554143919649
3,1_4_5,svm_lin,10,1.0,927,0.4544490526911113,0.4987864077669903,0.8146482146455547,0.8400194005685931,0.8175301553167099
3,1_4_5,logreg,20,0.003,927,0.5911725893109624,0.5,0.730216920375824,0.7618006467819214,0.7693126797676086
3,1_4_5,svm_lin,20,0.01,927,0.5726211235743237,0.5012135922330098,0.9344107704579874,0.9542659715954044,0.9682759880452858
3,1_4_5,svm_lin,20,0.1,927,0.532136629277029,0.5,0.9578005333301299,0.9717339436722976,0.9669447837495062
3,1_4_5,svm_lin,20,1.0,927,0.5402665189933076,0.49514563106796117,0.9413223936866636,0.9547596118790177,0.9493901362557399
3,1_4_5,logreg,30,0.003,927,0.6170468470166839,0.5752427184466019,0.6034725904464722,0.6749759316444397,0.699138879776001
3,1_4_5,svm_lin,30,0.01,927,0.5897586954472618,0.6177184466019418,0.5309102137888404,0.695612387941112,0.7457513112820252
3,1_4_5,svm_lin,30,0.1,927,0.5585823357526628,0.5,0.300162836787073,0.4404950981768972,0.4040994042375684
3,1_4_5,svm_lin,30,1.0,927,0.48740456216420025,0.46116504854368934,0.29890049639166766,0.36534084011315976,0.2989302145999886
3,1_4_5,logreg,40,0.003,927,0.5775874257705722,0.587378640776699,0.5795260071754456,0.6526775360107422,0.6683353781700134
3,1_4_5,svm_lin,40,0.01,927,0.5767449806767839,0.6055825242718447,0.6081678255517183,0.7414230345158649,0.7994454400626034
3,1_4_5,svm_lin,40,0.1,927,0.5674545197473844,0.5606796116504854,0.438271301321184,0.5847275150139171,0.5947644906072997
3,1_4_5,svm_lin,40,1.0,927,0.4709150249787916,0.5109223300970874,0.6751201320120658,0.695688741322055,0.6769005939057571
3,1_4_5,logreg,54,0.003,927,0.5829955697992271,0.5898058252427184,0.5940056443214417,0.6823050379753113,0.7031121253967285
3,1_4_5,svm_lin,54,0.01,927,0.5310349703082289,0.5182038834951457,0.8810604515437125,0.9246171833652532,0.9482872063927373
3,1_4_5,svm_lin,54,0.1,927,0.3946295598077105,0.508495145631068,0.8654583434409017,0.8819089698932537,0.8413120746819811
3,1_4_5,svm_lin,54,1.0,927,0.3870063153925912,0.5012135922330098,0.9467893647198281,0.9593600215975501,0.9538468490321985
3,1_4_6,logreg,10,0.003,902,0.44151192383825044,0.5024271844660194,0.6520671844482422,0.667063295841217,0.6490238308906555
3,1_4_6,svm_lin,10,0.01,902,0.43107267414459416,0.4975728155339806,0.8684845082725688,0.8817767406957971,0.8608858373624168
3,1_4_6,svm_lin,10,0.1,902,0.47044372702422466,0.4890776699029126,0.6779812235870638,0.7516071397611005,0.6955763229505241
3,1_4_6,svm_lin,10,1.0,902,0.4938966914883589,0.5121359223300971,0.42123796977553096,0.5240208207657331,0.4646571093233894
3,1_4_6,logreg,20,0.003,902,0.5947544537656706,0.6116504854368932,0.520017683506012,0.658203125,0.7046962380409241
3,1_4_6,svm_lin,20,0.01,902,0.5882799981148082,0.5946601941747572,0.7134698551852451,0.8493957916674008,0.9249518879285494
3,1_4_6,svm_lin,20,0.1,902,0.6098772268828353,0.5655339805825242,0.387136600228645,0.5625665633614585,0.6141609547979143
3,1_4_6,svm_lin,20,1.0,902,0.6373480064096522,0.5036407766990292,0.14572793338914497,0.23880095227325415,0.24961312899788135
3,1_4_6,logreg,30,0.003,902,0.6195800735224809,0.6225728155339806,0.4544970393180847,0.5709552764892578,0.613007664680481
3,1_4_6,svm_lin,30,0.01,902,0.6142720803091715,0.6067961165048543,0.5912136602627003,0.7436202666367568,0.8224421415052218
